# X[mm] xp[mrad] Y[mm] yp[mrad]
1.3047129326e-01 -5.3951371506e+01 1.6551224862e-01 -1.3223566162e+01
-4.7205931744e-01 -7.4923473490e+01 6.2756868592e-01 7.1583226981e+01
-2.9996479704e-01 -3.9255279657e+01 1.5423078078e-01 2.2559891112e+01
-5.0678461887e-01 -2.2552988580e+01 2.9579195593e-01 1.8049139229e+00
1.3084967164e+00 2.3094183508e+01 -1.1973540623e-01 2.4596106476e+01
-1.8934325356e-01 1.0446669612e+02 -6.4662532442e-01 -1.0433140950e+02
7.9357700048e-01 8.7761671592e+01 -5.6170787243e-01 -6.9949241949e+01
8.5524839566e-01 -1.5090906598e+01 -9.1118505146e-02 1.0650703944e+01
8.2686081372e-02 3.4021196393e+01 -3.7514236381e-01 4.2348260764e-01
6.6342543291e-01 -4.0571246188e+01 2.3863261864e-01 8.5053643769e+01
1.2250693089e-02 -8.4301546633e+01 6.5520549574e-01 8.5028880864e+01
-1.2239219506e+00 4.8265962436e+01 -2.5784097175e-01 -8.3492707825e+01
1.2580383521e+00 -2.9051457647e+01 2.1166957304e-01 7.5400705587e+01
1.0346909565e+00 5.0942514991e+01 -3.7269696756e-01 -2.6883542010e+01
-1.2429841967e+00 -9.1721462639e+01 4.5474349616e-01 4.5814288120e+01
-1.5988165774e+00 -1.5774067964e+01 3.4845455309e-02 -5.4529609346e+01
4.2688919626e-01 8.2784915538e+01 -6.4873657728e-01 -7.0105807337e+01
-5.9910644567e-01 1.8631549730e+01 -1.0898126226e-01 -5.3183278057e+01
-3.5534987069e-01 -7.8873924274e+01 6.4790620112e-01 6.6669309256e+01
1.2261769430e-01 6.4028762814e+01 -5.5930253306e-01 -4.7268385739e+01
-7.0521692723e-03 1.0193117454e+02 -1.6756687093e-01 -1.2482432653e+01
-3.2851563219e-01 -9.1333994712e+01 6.8332878303e-01 8.1027453985e+01
6.2038246648e-01 1.2179081527e+02 -6.9889338867e-01 -1.0716011822e+02
1.0686873859e+00 -2.4259740733e+01 6.2356486293e-02 3.7604669123e+01
1.3827487458e+00 3.3988382438e+01 -1.5030565017e-01 1.9524116560e+01
-8.3065465127e-01 -3.3536030283e+01 3.6562448049e-01 2.9525324093e+01
-1.0139656814e+00 -3.2848138163e+01 3.5018389022e-01 2.0686142401e+01
7.5781666356e-01 2.9936067028e+01 -3.6521048788e-01 -2.7742439698e+01
-6.7442160433e-01 -5.6676908422e+00 -1.6768670720e-03 -3.0789266343e+01
9.5896729996e-01 -6.6610586035e+01 4.4387349192e-01 9.3485273014e+01
1.2575087594e+00 -5.0603747921e+01 3.0413207744e-01 9.4707920304e+01
-6.0978072261e-01 1.1835451305e+01 2.9654349161e-01 -8.3989733235e+01
-1.1924224020e-01 6.2915909437e+01 -1.6412788350e-01 7.7512474186e+00
4.1950195635e-01 -5.3339893378e+01 4.0150970866e-01 3.6546962849e+01
-1.2997862333e+00 1.7803889628e+01 -4.9759647437e-02 -4.3401121043e+01
6.6605977760e-01 1.1175381347e+02 -6.8307558905e-01 -9.4712427612e+01
2.8758028885e-02 -8.0077215260e+00 3.2619931910e-02 1.0290667149e+01
9.7910104871e-01 -1.4616843789e+01 1.5982848225e-01 7.5906352824e+01
6.2579937909e-01 8.8955531755e+01 -6.4822287932e-01 -8.9325868334e+01
1.0808221836e-01 5.8761500958e+01 -5.6562502839e-01 -5.0278965032e+01
-6.3793013657e-01 6.4513852293e+01 -3.3757733595e-01 -1.0241141458e+02
7.2387010274e-01 -6.6332415088e+01 4.5895928356e-01 7.6383459459e+01
8.5563865806e-01 -1.0597052710e+01 -1.4887730404e-01 1.0820913155e+01
-1.0626060795e+00 -2.7798881683e+01 2.9823974586e-01 1.3374551422e+01
5.3998056779e-01 8.4794153360e+01 -6.3381501306e-01 -9.0890582417e+01
7.7796531738e-02 5.5321533160e+01 -4.9978188199e-01 -2.6702966119e+01
-1.4332833819e+00 -4.9930926776e+00 -2.4533051671e-03 -6.0183635583e+01
6.5392267790e-01 9.5836377211e+01 -6.8882859350e-01 -7.4308210187e+01
-1.0265171841e+00 -2.3785384681e+01 6.1143175729e-02 -2.9914015189e+01
-1.3513979658e+00 -7.7221066304e+01 3.5835778736e-01 2.4452584394e+01
7.1153688202e-01 -1.5710483796e+01 -1.4918584966e-01 4.6217337396e+00
-1.0089852714e+00 5.1082125194e+01 -2.7231303095e-01 -1.0511491795e+02
-8.1416160813e-01 6.4723542152e+01 -4.2605441008e-01 -8.1730507732e+01
-4.1203000218e-02 8.0148259987e+01 -6.0276881226e-01 -6.8843989150e+01
7.2582584010e-01 -5.5956082171e+01 4.0451817153e-01 6.1476690577e+01
1.0725876373e+00 -3.7736457037e+01 9.6313655960e-02 5.1425901347e+01
1.1375161471e+00 3.5372411691e+01 -2.6186093820e-01 -5.2763092735e+00
-1.2259022235e+00 4.7761403142e+01 -2.6478065724e-01 -8.8383253024e+01
4.7989513341e-01 5.3097966738e+01 -5.2923212780e-01 -3.1751376790e+01
